Sample,Month,Season,Year,Zone,Station,Batch,SecchiDiskDepth,Silica,Sulfate,Temperature,Turbidity,Alkalinity,Ammonia,Pheophytin.a,Chlorophyll.a,TotalDepth,DissolvedOxygen,Nitrate.Nitrite,Phosphate.Ortho,Phosphate.Total,pH,Total.Nitrogen,TN.TP.ratio,Microcystis.Abundance,Microcystin.RR,Microcystin.WR,Microcystin.YR,Microcystin,Microcystin.HILR,Microcystin.HTYR,Microcystin.LA,Microcystin.LF,Microcystin.LR,Microcystin.LW,Microcystin.LY,Anatoxin.a,Cylindrospermopsin,S,N,H,J,inv.D
CLV10A_10_21,10,wet,3,Pelagic,CLV10A,PAIS3,0.2,10.3,22.9,28.6,14.8,101,0.007,0.572,21.5,4.2,8.11,0.157,0.07,0.128,8.2,1.21,9.453,3.95E-05,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.35,-0.25,-0.1,-0.25,-0.1,568,27626,5.608345341,0.884301162,138.4495375
KISSR0.0_3_19,3,dry,1,Inflow,KISSR0.0,LO22,0.3,2.38,13.3,23.8,10.4,50,0.024,1.93,23,3,5.85,0.051,0.027,0.117,7.3,1.43,12.222,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,278,15446,4.99898691,0.88829486,79.62264874
KISSR0.0_4_19,4,dry,1,Inflow,KISSR0.0,ELIZA2,0.6,0,0,22.7,7.8,44,0.015,1.74,22.2,2.1,7.08,0.075,0.017,0.106,7.4,1.42,13.396,0.001459144,0,0,0,0.29,0,0,0,0,0,0,0,0,0,838,82647,6.048681414,0.898628012,236.4793361
KISSR0.0_5_19,5,wet,1,Inflow,KISSR0.0,ELIZA2,0.6,1.08,15.6,26.7,8.8,41,0.017,1.91,28.3,1.5,5.9,-0.005,0.01,0.092,7.3,1.24,13.478,0.009982483,0,0,0,0.52,0,0,0,0,0,0,0,0,0,1149,137548,6.28012052,0.891221069,257.3066011
KISSR0.0_7_19,7,wet,1,Inflow,KISSR0.0,LO22,0.3,0,0,29,2.9,38,0.441,1.04,12.9,1.7,2.45,-0.005,0.123,0.166,6.7,2.05,12.349,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,154,10520,4.630894834,0.919384239,75.13591901
KISSR0.0_8_19,8,wet,1,Inflow,KISSR0.0,LO8382,0.4,4.59,14.8,28.5,7.7,28,0.036,1.77,34.1,1.7,3.59,-0.005,-0.002,0.092,6.6,1.69,18.37,0.004573061,0,0,0,1.4,0,0,0,0,0,0,0,0,0,1106,109337,6.364002037,0.908039856,320.9666284
KISSR0.0_9_19,9,wet,1,Inflow,KISSR0.0,LO8382,0.4,0,0,30.1,3.2,30,0.115,0.805,8,2.2,3.54,0.027,0.048,0.094,7.4,1.12,11.915,0.001328126,0,0,0,0.2,0,0,0,0,0,0,0,0,0,689,55497,5.835990957,0.893003137,177.690373
KISSR0.0_11_19,11,dry,1,Inflow,KISSR0.0,ELIZA23,0.7,4.83,16,26.2,5.3,58,0.016,1.3,30.5,1.6,7.45,0.172,0.018,0.077,7.9,1.28,16.623,0.001001479,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,398,11104,5.387701878,0.899982473,118.7975759
KISSR0.0_12_19,12,dry,1,Inflow,KISSR0.0,ELIZA23,0.5,0,0,18.6,11,82,0.017,1.46,14.3,1.9,8.58,-0.005,0.012,0.09,8.3,1.15,12.778,0.000249472,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,899,47358,5.985791553,0.880097406,183.3975326
KISSR0.0_1_20,1,dry,2,Inflow,KISSR0.0,ELIZA2,0.8,0,0,21.8,6.1,55,0.013,0.978,17.4,1.9,8.08,0.044,0.009,0.074,7.2,1.14,15.405,0.002010137,0,0,0,0.28,0,0,0,0,0,0,0,0,0,536,35999,5.630774414,0.896030268,151.4026024
KISSR0.0_2_20,2,dry,2,Inflow,KISSR0.0,ELIZA2,0.8,2.08,13.7,17.9,5.3,39,0.006,1.01,13.1,2,7.71,-0.005,0.028,0.085,6.6,1.26,14.824,0.0016799,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,623,60010,5.570708825,0.865750027,108.2947712
KISSR0.0_4_20,4,dry,2,Inflow,KISSR0.0,UNK,0.5,1.49,14.3,23.3,10.6,56,0.006,1.82,35.3,2.8,7.65,-0.005,0.003,0.096,8.1,1.46,15.208,0.000131018,-0.25,-0.25,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,125,13947,4.32437738,0.895628912,51.64788866
KISSR0.0_5_20,5,wet,2,Inflow,KISSR0.0,UNK,0.7,0.93,16,26,8,57,0.013,1.55,22.8,1.9,6.29,-0.005,0.003,0.084,7.8,1.42,16.905,0.000233319,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,121,11039,4.0395238,0.842306135,30.29585212
KISSR0.0_6_20,6,wet,2,Inflow,KISSR0.0,UNK,0.3,1.29,21.8,29.3,7.6,32,0.006,1.74,47.6,1.6,6.16,-0.005,0.002,0.093,7.2,1.52,16.344,0.00026383,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,138,24049,4.458059355,0.90477569,59.96979509
KISSR0.0_8_20,8,wet,2,Inflow,KISSR0.0,UNK,0.4,5.15,9.1,30.2,5.3,30,0.025,1.87,20,2,2.59,-0.005,0.002,0.08,6.5,1.29,16.125,0.000891998,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,755,49026,5.935305614,0.895662957,204.1184881
KISSR0.0_9_20,9,wet,2,Inflow,KISSR0.0,UNK,0.5,5.42,8.8,30,4.8,31,0.081,1.27,12.3,2.2,2.69,0.01,0.012,0.076,6.6,1.25,16.447,0.002071159,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,873,77987,6.062716908,0.89527091,218.1660462
KISSR0.0_10_20,10,wet,2,Inflow,KISSR0.0,UNK,0.4,4.81,9,25.9,4,26,0.058,1.2,14.9,2.6,4.13,0.017,0.057,0.136,6.4,1.28,9.412,0.001062501,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,902,77876,6.023697651,0.885237163,178.5242967
KISSR0.0_11_20,11,dry,2,Inflow,KISSR0.0,PAIS1,0.5,5.86,12.7,25,3.1,34,0.116,1.01,9.22,2.9,4.42,0.109,0.116,0.181,6.8,1.58,8.729,0.000848924,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,629,69421,5.442235526,0.844525865,64.70545255
KISSR0.0_12_20,12,dry,2,Inflow,KISSR0.0,PAIS1,1.5,2.54,11.4,19.7,2.3,33,0.032,1.2,12.7,2.9,7.6,0.029,0.023,0.062,6.9,1.07,17.258,0.00053125,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,0.27,-0.25,-0.25,-0.25,-0.25,523,72584,5.21825015,0.833642022,77.81440966
KISSR0.0_2_21,2,dry,3,Inflow,KISSR0.0,PAIS1,0.6,4.53,15.6,20.2,9,69,0.011,1.24,36.9,2.9,10.7,0.054,0.021,0.054,8.5,1.25,23.148,0.001595546,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,0.28,-0.25,-0.25,-0.25,-0.25,420,38261,5.221746446,0.864491101,97.58998423
KISSR0.0_3_21,3,dry,3,Inflow,KISSR0.0,PAIS3,0.4,1.64,14.2,19.4,7.1,51,0.01,1.29,23.9,2.4,8.75,0.027,0.025,0.095,7.4,1.19,12.526,0.000247678,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,779,32996,5.951171768,0.893836271,196.1098539
KISSR0.0_4_21,4,dry,3,Inflow,KISSR0.0,PAIS3,0.5,1.58,12.3,22.1,5.4,50,0.048,1.03,17.7,2.4,7.5,0.017,0.017,0.049,7.3,1.25,25.51,0.00042177,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,0.38,-0.25,-0.25,-0.25,-0.25,601,28036,5.826627616,0.910610482,214.7741986
KISSR0.0_5_21,5,wet,3,Inflow,KISSR0.0,PAIS3,0.5,3.95,17.1,27.7,10.9,68,0.029,2.18,33.6,2.8,7.67,-0.005,0.01,0.166,7.5,1.43,8.614,0.001157623,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.29,-0.25,-0.1,-0.25,-0.1,1071,44940,6.413943721,0.919384133,372.9189255
KISSR0.0_6_21,6,wet,3,Inflow,KISSR0.0,PAIS2,0.2,9.39,23.1,28.6,33.4,104,0.006,2.3,31.8,1.9,6.73,0.047,0.043,0.224,8.2,2.5,11.161,0.003682858,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,7.1,-0.25,-0.1,-0.25,-0.1,611,60799,5.548907842,0.864976458,105.1288967
KISSR0.0_7_21,7,wet,3,Inflow,KISSR0.0,PAIS1,0.3,3.85,25.6,28,9.1,49,0.015,2.26,61.5,2.2,5.66,-0.005,0.003,0.106,6.9,1.77,16.698,0.000457665,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.37,-0.25,-0.1,-0.25,-0.1,720,55867,5.652405933,0.859126024,126.6980701
KISSR0.0_8_21,8,wet,3,Inflow,KISSR0.0,PAIS2,0.5,5.37,18.2,30.4,6.6,38,0.02,2.06,28,2.4,2.35,0.005,0.004,0.173,6.8,1.63,9.422,0.004327178,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,614,67798,5.688059326,0.885991249,138.6933554
KISSR0.0_9_21,9,wet,3,Inflow,KISSR0.0,PAIS3,0.5,7.46,9.7,29,3.1,45,0.144,1.12,11.6,2.5,2.21,-0.005,0.041,0.106,6.6,1.47,13.868,0.000312289,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,665,38725,5.770002805,0.887721824,149.4509769
KISSR0.0_10_21,10,wet,3,Inflow,KISSR0.0,PAIS3,0.6,5.99,11.2,26.9,3.9,34,0.054,1.21,15.1,2.8,4.79,0.013,0.025,0.091,6.7,1.37,15.055,0.001137881,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,988,63460,6.114262401,0.886679778,217.6938474
L001_3_19,3,dry,1,Pelagic,L001,ELIZA2,0.3,6.97,20.2,22.6,35.1,87,0.026,1.11,15.3,2.6,8.32,0.116,0.043,0.167,8.2,1.48,8.862,0.000157939,0,0,0,0,0,0,0,0,0,0,0,0,0,708,55464,5.937112368,0.904710544,215.0869503
L001_4_19,4,dry,1,Pelagic,L001,ELIZA2,0.3,0,0,22.5,61.3,95,0.013,0.736,11.4,2.6,8.33,0.223,0.049,0.185,8.1,1.65,8.919,0.000197424,0,0,0,0,0,0,0,0,0,0,0,0,0,821,61915,5.96799724,0.889349033,186.1933285
L001_5_19,5,wet,1,Pelagic,L001,ELIZA2,0.3,10.5,24,26.7,51.6,110,-0.005,0.976,15,2.4,7.54,0.283,0.044,0.153,8.2,1.37,8.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,64161,6.076426674,0.892840786,204.5630268
L001_6_19,6,wet,1,Pelagic,L001,ELIZA2,0.2,0,0,29.5,38.8,116,0.009,1.64,43,2.34,6.78,0.025,0.019,0.151,8.4,1.47,9.735,0.000604836,0,0,0,0,0,0,0,0,0,0,0,0,0,830,55450,6.067792374,0.902753767,235.156445
L001_7_19,7,wet,1,Pelagic,L001,ELIZA2,0.3,0,0,28.3,33.9,104,-0.005,2.39,38.7,2.4,7,0.029,0.016,0.172,8.2,1.65,9.593,0.001222235,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,87472,6.688163012,0.91545184,438.0708535
L001_8_19,8,wet,1,Pelagic,L001,LO8382,0.4,5.3,21.7,28.1,19,84,0.012,2.52,45.1,2.6,7.37,0.009,-0.002,0.108,8.4,1.56,14.444,0.001582983,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,144971,6.828582837,0.900664119,416.679496
L001_9_19,9,wet,1,Pelagic,L001,LO8382,0.2,0,0,29.2,11.1,38,0.024,1.45,26.3,3.2,6.49,0.077,0.023,0.121,7.7,1.38,11.405,0.001229414,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,80419,6.711677329,0.920373972,479.8564264
L001_11_19,11,dry,1,Pelagic,L001,ELIZA23,0.4,7.2,20.9,25.8,23.6,88,0.01,0.789,11.1,3.1,7.57,0.257,0.045,0.126,8.1,1.36,10.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,23337,5.785290813,0.889457948,164.4338408
L001_12_19,12,dry,1,Pelagic,L001,ELIZA23,0.1,0,0,18.8,29.8,88,0.017,1.76,14.2,3,8.84,0.122,0.029,0.163,8.3,1.61,9.877,8.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,874,28926,6.083599119,0.898202706,219.1845836
L001_1_20,1,dry,2,Pelagic,L001,ELIZA2,0.2,0,0,21.5,34.5,101,0.009,0.504,5.25,3.1,8.65,0.482,0.062,0.152,8.1,1.46,9.605,0.000272804,0,0,0,0,0,0,0,0,0,0,0,0,0,781,65828,5.79140214,0.869504811,125.5102169
L001_2_20,2,dry,2,Pelagic,L001,ELIZA23,0.4,8.49,24.6,16.6,23.3,96,0.012,0.572,16.4,3,9.75,0.418,0.043,0.118,8.3,1.4,11.864,0.000468434,0,0,0,0,0,0,0,0,0,0,0,0,0,532,20346,5.672911273,0.903812887,172.8407072
L001_3_20,3,dry,2,Pelagic,L001,ELIZA3,0.2,4.18,20.2,19.2,37.2,81,0.016,2.1,26,2.9,8.85,0.006,0.015,0.164,7.6,1.61,9.817,0.000472023,0,0,0,0,0,0,0,0,0,0,0,0,0,93,20103,4.039597277,0.891231904,37.11738934
L001_4_20,4,dry,2,Pelagic,L001,UNK,0.3,5.8,23.8,23.3,26.2,98,0.012,1.87,32.9,2.6,8.19,-0.005,0.014,0.12,8.2,1.44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,16298,4.154149998,0.846874066,29.94018879
L001_6_20,6,wet,2,Pelagic,L001,UNK,0.2,5.36,25.4,29.5,31,84,0.008,2.32,44.4,2.8,6.32,0.062,0.01,0.143,8.5,1.59,11.119,0.000879435,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,2,-0.25,-0.25,-0.25,-0.25,145,15878,4.370127202,0.878111514,48.69088475
L001_7_20,7,wet,2,Pelagic,L001,UNK,0.3,7.1,28.3,29.8,19.8,91,0.026,2,142,2.8,7.13,0.021,0.003,0.134,9,2.27,16.94,3.05E-05,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,530,20487,5.710612149,0.910365713,180.627384
L001_8_20,8,wet,2,Pelagic,L001,UNK,0.3,5.18,11.5,29.6,8.8,44,0.017,2.16,34.1,2.8,7.02,0.005,0.018,0.113,7.8,1.41,12.478,0.001425043,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1181,50270,6.505522386,0.919623263,382.2099629
L001_9_20,9,wet,2,Pelagic,L001,UNK,0.5,5.6,12.1,28.8,3.8,49,0.012,1.58,28.8,3.2,6.49,0.01,0.009,0.069,7.5,1.2,17.391,0.000624578,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,0.37,-0.25,-0.25,-0.25,-0.25,896,64963,6.14838485,0.904448182,253.4006153
L001_10_20,10,wet,2,Pelagic,L001,UNK,0.5,4.92,12,26.9,4.8,52,0.023,1.22,17.5,3.8,7.45,0.083,0.043,0.09,7.7,1.22,13.556,0.000581504,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,995,57939,6.208554427,0.899432974,281.2600858
L001_11_20,11,dry,2,Pelagic,L001,PAIS3,0.2,8.19,19.1,25,27.4,81,0.011,0.9,9.53,4,7.01,0.319,0.064,0.161,8.1,1.58,9.814,5.03E-05,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,941,37363,6.124990958,0.894558467,163.6770386
L001_12_20,12,dry,2,Pelagic,L001,PAIS1,0.8,4.73,14.4,19.6,5,52,0.019,0.734,10.8,4.1,8.7,0.127,0.045,0.087,7.7,1.15,13.218,0.001067885,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,374,24754,5.348615099,0.902833247,129.5426933
L001_2_21,2,dry,3,Pelagic,L001,PAIS1,0.3,7.14,18.9,19.5,17.9,85,0.011,0.52,13.1,3.9,9.94,0.206,0.036,0.074,8.4,1.26,17.027,0.000310494,0,0,0,0,0,0,0,0,0,0,0,0,0,510,40516,5.537867308,0.888274378,128.1257234
L001_3_21,3,dry,3,Pelagic,L001,PAIS1,0.3,7.6,20.9,18.9,29.3,89,-0.005,0.848,9.25,3.8,9.01,0.306,0.054,0.148,8.2,1.4,9.459,3.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,791,46597,5.974766783,0.895324443,215.451163
L001_4_21,4,dry,3,Pelagic,L001,PAIS3,0.2,8.92,22,20.9,62.5,103,0.013,0.776,8.23,2.5,8.46,0.307,0.073,0.148,8,1.72,11.622,0.000367927,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,59070,6.355762256,0.88795713,241.196972
L001_5_21,5,wet,3,Pelagic,L001,PAIS1,0.2,7.86,21.2,27.4,29.8,94,0.008,1.79,27.3,3.5,7.35,0.139,0.038,0.154,8.1,1.46,9.481,0.001105575,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.74,-0.25,-0.1,-0.25,-0.1,858,43267,6.02606682,0.89214212,225.0816705
